descricao;endereco;area;quartos;wc;vagas;valor;condominio;link
Apartamento com 2 Quartos à Venda, 85m²;Rua José de Alencar, 442 - Alto da Rua XV, Curitiba - PR;85;2;2;1;R$ 690.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento com  Quarto à Venda, 29m²;Rua Ubaldino do Amaral, 1028 - Centro, Curitiba - PR;29;1;1;--;R$ 270.000;R$ 240;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-29m2-venda-RS270000-id-2548100966/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 4 Quartos à Venda, 95m²;Alameda Presidente Taunay, 2051 - Mercês, Curitiba - PR;95;4;3;1;R$ 419.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-95m2-venda-RS419000-id-2549215831/
Apartamento com 2 Quartos à Venda, 99m²;Rua do Herval, 611 - Cristo Rei, Curitiba - PR;99;2;3;2;R$ 800.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-99m2-venda-RS800000-id-2554664925/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 239.200;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 131m²;Rua Comendador Araújo, 279 - Centro, Curitiba - PR;131;2;2;1;R$ 660.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-131m2-venda-RS660000-id-2549089278/
Apartamento com 2 Quartos à Venda, 55m²;Rua Macapá, 709 - Tingui, Curitiba - PR;55;2;2;2;R$ 279.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-55m2-venda-RS279900-id-2551827258/
Apartamento com 2 Quartos à Venda, 57m²;Rua Tobias de Macedo Júnior, 1138 - Santo Inácio, Curitiba - PR;57;2;2;1;R$ 490.000;R$ 340;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-inacio-bairros-curitiba-com-garagem-57m2-venda-RS490000-id-2550034995/
Apartamento com 2 Quartos à Venda, 70m²;Avenida República Argentina, 1004 - Vila Izabel, Curitiba - PR;70;2;2;1;R$ 698.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-70m2-venda-RS698000-id-2554838539/
Apartamento com 4 Quartos à Venda, 150m²;Rua Carneiro Lobo, 614 - Batel, Curitiba - PR;150;4;4;2;R$ 1.250.000;R$ 930;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-150m2-venda-RS1250000-id-2536043485/
Apartamento com 2 Quartos à Venda, 105m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;105;2;3;2;R$ 830.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS830000-id-2539630890/
CWBE;Avenida Silva Jardim, 1011 - Rebouças, Curitiba - PR;19-35;1;1;--;R$ 145.000;;https://www.vivareal.com.br/imoveis-lancamento/cwbe-2549891340/
Apartamento com 2 Quartos à Venda, 76m²;Rua Comendador Macedo, 324 - Centro, Curitiba - PR;76;2;1;--;R$ 240.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-76m2-venda-RS240000-id-2555556968/
Apartamento com 2 Quartos à Venda, 61m²;Rua João Alencar Guimarães, 1745 - Campo Comprido, Curitiba - PR;61;2;2;1;R$ 338.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-61m2-venda-RS338000-id-2555026597/
Apartamento com 3 Quartos à Venda, 77m²;Rua Engenheiro Arthur Bettes, 75 - Portão, Curitiba - PR;77;3;2;1;R$ 430.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-77m2-venda-RS430000-id-2546374276/
Apartamento com 4 Quartos à Venda, 409m²;Rua Saldanha Marinho, 490 - Centro, Curitiba - PR;409;4;4;2;R$ 1.130.000;R$ 1.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-409m2-venda-RS1130000-id-2553582913/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tibagi, 404 - Centro, Curitiba - PR;56;2;1;1;R$ 300.000;R$ 625;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-56m2-venda-RS300000-id-2552814094/
Apartamento com 2 Quartos à Venda, 50m²;Rua Sertaneja, 71 - Sitio Cercado, Curitiba - PR;50;2;1;1;R$ 158.000;R$ 230;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairros-curitiba-com-garagem-50m2-venda-RS158000-id-2548545464/
Apartamento com 3 Quartos à Venda, 107m²;Rua Marechal Deodoro, 228 - Centro, Curitiba - PR;107;3;2;--;R$ 300.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-107m2-venda-RS300000-id-2549436471/
Apartamento com 3 Quartos à Venda, 110m²;Rua Padre Anchieta, 1399 - Champagnat, Curitiba - PR;110;3;3;1;R$ 625.000;R$ 855;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-110m2-venda-RS625000-id-2545385308/
Apartamento com 3 Quartos à Venda, 88m²;Rua Sanito Rocha, 135 - Cristo Rei, Curitiba - PR;88;3;2;1;R$ 395.000;R$ 631;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-88m2-venda-RS395000-id-2527428932/
Apartamento com 3 Quartos à Venda, 311m²;Rua Guilherme Pugsley, 1551 - Água Verde, Curitiba - PR;311;3;3;2;R$ 1.200.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-311m2-venda-RS1200000-id-2547263551/
Apartamento com 3 Quartos à Venda, 140m²;Rua Gago Coutinho, 45 - Bacacheri, Curitiba - PR;140;3;4;2;R$ 930.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-140m2-venda-RS930000-id-2521551274/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com 2 Quartos à Venda, 67m²;Rua Rezala Simão, 650 - Santa Quitéria, Curitiba - PR;67;2;1;1;R$ 280.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-67m2-venda-RS280000-id-2548775280/
Apartamento com 3 Quartos à Venda, 53m²;Rua João Dembinski, 2380 - Cidade Industrial, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2537687990/
Apartamento com 3 Quartos à Venda, 83m²;Avenida Cândido Hartmann, 3530 - Santo Inácio, Curitiba - PR;83;3;2;1;R$ 560.000;R$ 594;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-83m2-venda-RS560000-id-2552015831/
Apartamento com 2 Quartos à Venda, 47m²;Rua Sebastião Ribeiro Batista, 165 - Cidade Industrial, Curitiba - PR;47;2;1;1;R$ 149.990;R$ 230;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-47m2-venda-RS149990-id-2552508768/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.280.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 155.000;R$ 296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
Apartamento com 3 Quartos à Venda, 76m²;Rua Tenente Olderico Gabardo, 311 - Xaxim, Curitiba - PR;76;3;2;1;R$ 260.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-xaxim-bairros-curitiba-com-garagem-76m2-venda-RS260000-id-2550804081/
Apartamento com 2 Quartos à Venda, 57m²;Rua Padre Anchieta, 1965 - Bigorrilho, Curitiba - PR;57;2;2;1;R$ 345.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Apartamento com 2 Quartos à Venda, 244m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;244;2;3;2;R$ 1.400.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mossungue-bairros-curitiba-com-garagem-244m2-venda-RS1400000-id-2553093102/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 161.000;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 2 Quartos à Venda, 85m²;Rua José de Alencar, 442 - Alto da Rua XV, Curitiba - PR;85;2;2;1;R$ 690.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento com  Quarto à Venda, 29m²;Rua Ubaldino do Amaral, 1028 - Centro, Curitiba - PR;29;1;1;--;R$ 270.000;R$ 240;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-29m2-venda-RS270000-id-2548100966/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 4 Quartos à Venda, 95m²;Alameda Presidente Taunay, 2051 - Mercês, Curitiba - PR;95;4;3;1;R$ 419.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-95m2-venda-RS419000-id-2549215831/
Apartamento com 2 Quartos à Venda, 99m²;Rua do Herval, 611 - Cristo Rei, Curitiba - PR;99;2;3;2;R$ 800.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-99m2-venda-RS800000-id-2554664925/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 239.200;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 131m²;Rua Comendador Araújo, 279 - Centro, Curitiba - PR;131;2;2;1;R$ 660.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-131m2-venda-RS660000-id-2549089278/
Apartamento com 2 Quartos à Venda, 55m²;Rua Macapá, 709 - Tingui, Curitiba - PR;55;2;2;2;R$ 279.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-55m2-venda-RS279900-id-2551827258/
Apartamento com 2 Quartos à Venda, 57m²;Rua Tobias de Macedo Júnior, 1138 - Santo Inácio, Curitiba - PR;57;2;2;1;R$ 490.000;R$ 340;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-inacio-bairros-curitiba-com-garagem-57m2-venda-RS490000-id-2550034995/
Apartamento com 2 Quartos à Venda, 70m²;Avenida República Argentina, 1004 - Vila Izabel, Curitiba - PR;70;2;2;1;R$ 698.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-70m2-venda-RS698000-id-2554838539/
Apartamento com 4 Quartos à Venda, 150m²;Rua Carneiro Lobo, 614 - Batel, Curitiba - PR;150;4;4;2;R$ 1.250.000;R$ 930;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-150m2-venda-RS1250000-id-2536043485/
Apartamento com 2 Quartos à Venda, 105m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;105;2;3;2;R$ 830.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS830000-id-2539630890/
CWBE;Avenida Silva Jardim, 1011 - Rebouças, Curitiba - PR;19-35;1;1;--;R$ 145.000;;https://www.vivareal.com.br/imoveis-lancamento/cwbe-2549891340/
Apartamento com 2 Quartos à Venda, 76m²;Rua Comendador Macedo, 324 - Centro, Curitiba - PR;76;2;1;--;R$ 240.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-76m2-venda-RS240000-id-2555556968/
Apartamento com 2 Quartos à Venda, 61m²;Rua João Alencar Guimarães, 1745 - Campo Comprido, Curitiba - PR;61;2;2;1;R$ 338.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-61m2-venda-RS338000-id-2555026597/
Apartamento com 3 Quartos à Venda, 77m²;Rua Engenheiro Arthur Bettes, 75 - Portão, Curitiba - PR;77;3;2;1;R$ 430.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-77m2-venda-RS430000-id-2546374276/
Apartamento com 4 Quartos à Venda, 409m²;Rua Saldanha Marinho, 490 - Centro, Curitiba - PR;409;4;4;2;R$ 1.130.000;R$ 1.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-409m2-venda-RS1130000-id-2553582913/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tibagi, 404 - Centro, Curitiba - PR;56;2;1;1;R$ 300.000;R$ 625;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-56m2-venda-RS300000-id-2552814094/
Apartamento com 2 Quartos à Venda, 50m²;Rua Sertaneja, 71 - Sitio Cercado, Curitiba - PR;50;2;1;1;R$ 158.000;R$ 230;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairros-curitiba-com-garagem-50m2-venda-RS158000-id-2548545464/
Apartamento com 3 Quartos à Venda, 107m²;Rua Marechal Deodoro, 228 - Centro, Curitiba - PR;107;3;2;--;R$ 300.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-107m2-venda-RS300000-id-2549436471/
Apartamento com 3 Quartos à Venda, 110m²;Rua Padre Anchieta, 1399 - Champagnat, Curitiba - PR;110;3;3;1;R$ 625.000;R$ 855;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-110m2-venda-RS625000-id-2545385308/
Apartamento com 3 Quartos à Venda, 88m²;Rua Sanito Rocha, 135 - Cristo Rei, Curitiba - PR;88;3;2;1;R$ 395.000;R$ 631;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-88m2-venda-RS395000-id-2527428932/
Apartamento com 3 Quartos à Venda, 311m²;Rua Guilherme Pugsley, 1551 - Água Verde, Curitiba - PR;311;3;3;2;R$ 1.200.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-311m2-venda-RS1200000-id-2547263551/
Apartamento com 3 Quartos à Venda, 140m²;Rua Gago Coutinho, 45 - Bacacheri, Curitiba - PR;140;3;4;2;R$ 930.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-140m2-venda-RS930000-id-2521551274/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com 2 Quartos à Venda, 67m²;Rua Rezala Simão, 650 - Santa Quitéria, Curitiba - PR;67;2;1;1;R$ 280.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-67m2-venda-RS280000-id-2548775280/
Apartamento com 3 Quartos à Venda, 53m²;Rua João Dembinski, 2380 - Cidade Industrial, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2537687990/
Apartamento com 3 Quartos à Venda, 83m²;Avenida Cândido Hartmann, 3530 - Santo Inácio, Curitiba - PR;83;3;2;1;R$ 560.000;R$ 594;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-83m2-venda-RS560000-id-2552015831/
Apartamento com 2 Quartos à Venda, 47m²;Rua Sebastião Ribeiro Batista, 165 - Cidade Industrial, Curitiba - PR;47;2;1;1;R$ 149.990;R$ 230;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-47m2-venda-RS149990-id-2552508768/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.280.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 155.000;R$ 296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
Apartamento com 3 Quartos à Venda, 76m²;Rua Tenente Olderico Gabardo, 311 - Xaxim, Curitiba - PR;76;3;2;1;R$ 260.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-xaxim-bairros-curitiba-com-garagem-76m2-venda-RS260000-id-2550804081/
Apartamento com 2 Quartos à Venda, 57m²;Rua Padre Anchieta, 1965 - Bigorrilho, Curitiba - PR;57;2;2;1;R$ 345.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Apartamento com 2 Quartos à Venda, 244m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;244;2;3;2;R$ 1.400.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mossungue-bairros-curitiba-com-garagem-244m2-venda-RS1400000-id-2553093102/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 161.000;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 2 Quartos à Venda, 85m²;Rua José de Alencar, 442 - Alto da Rua XV, Curitiba - PR;85;2;2;1;R$ 690.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento com  Quarto à Venda, 29m²;Rua Ubaldino do Amaral, 1028 - Centro, Curitiba - PR;29;1;1;--;R$ 270.000;R$ 240;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-29m2-venda-RS270000-id-2548100966/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 4 Quartos à Venda, 95m²;Alameda Presidente Taunay, 2051 - Mercês, Curitiba - PR;95;4;3;1;R$ 419.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-95m2-venda-RS419000-id-2549215831/
Apartamento com 2 Quartos à Venda, 99m²;Rua do Herval, 611 - Cristo Rei, Curitiba - PR;99;2;3;2;R$ 800.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-99m2-venda-RS800000-id-2554664925/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 239.200;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 131m²;Rua Comendador Araújo, 279 - Centro, Curitiba - PR;131;2;2;1;R$ 660.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-131m2-venda-RS660000-id-2549089278/
Apartamento com 2 Quartos à Venda, 55m²;Rua Macapá, 709 - Tingui, Curitiba - PR;55;2;2;2;R$ 279.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-55m2-venda-RS279900-id-2551827258/
Apartamento com 2 Quartos à Venda, 57m²;Rua Tobias de Macedo Júnior, 1138 - Santo Inácio, Curitiba - PR;57;2;2;1;R$ 490.000;R$ 340;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-inacio-bairros-curitiba-com-garagem-57m2-venda-RS490000-id-2550034995/
Apartamento com 2 Quartos à Venda, 70m²;Avenida República Argentina, 1004 - Vila Izabel, Curitiba - PR;70;2;2;1;R$ 698.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-70m2-venda-RS698000-id-2554838539/
